
Run Status: Time Limit Exceeded

Last executed input
"9371597631128776948387197132267188677349946742344217846154932859125134924241649584251978418763151253"

Run Status: Wrong Answer
Progress: 10/27 test cases passed.

input	output	expected	
 
"563"	0	1	
 
"4899"	0	1	
 
"5379"	0	1	
 
"55359"	0	1	
 
"880"	0	0	
 
"4088"	0	0	
 
"63426"	0	2	
 
"76668"	0	1	
 
"1757"	0	2	
 
"1212"	0	5	
 
"102"	0	1	
 
"62163"	0	3	
 
"07284"	0	0	
 
"729"	0	1	
 
"8256"	0	2	
 
"974"	0	1	
 
"164"	0	2	
 
"0694"	0	0	
 
"87706"	0	0	
 
"8217"	0	3	
 
"3555"	0	1	
 
"179"	0	2	
 
"4212"	0	3	
 
"4356"	0	1	
 
"24726"	0	4	
 
"2685"	0	2	
 
"50926"	0	0	
 
"650"	0	0	
 
"9502"	0	0	
 
"671"	0	1	
 
"6585"	0	1	
 
"4111"	0	3	
 
"97696"	0	1	
 
"57619"	0	2	
 
"2656"	0	2	
 
"13362"	0	2	
 
"49610"	0	1	
 
"43719"	0	2	
 
"724"	0	2	
 
"87739"	0	1	
 
"8662"	0	1	
 
"08314"	0	0	
 
"7557"	0	1	
 
"16205"	0	2	
 
"417"	0	2	
 
"8587"	0	1	
 
"95717"	0	2	
 
"92035"	0	1	
 
"13904"	0	0	
 
"363"	0	1	
 
"14462"	0	2	
 
"41237"	0	3	
 
"6635"	0	1	
 
"516"	0	2	
 
"2174"	0	3	
 
"593"	0	1	
 
"6640"	0	0	
 
"81195"	0	3	
 
"8634"	0	1	
 
"0571"	0	0	
 
"6065812287883668764831544958683283296479682877898293612168136334983851946827579555449329483852397155"	0	0	
 
"4757562545844617494555774581341211511296816786586787755257741178599337186486723247528324612117156948"	0	589824	
 
"1159314227869675749153973158896359637455398771636981264557866779635662185364345272665484523344457179"	0	6912	
 
"9371597631128776948387197132267188677349946742344217846154932859125134924241649584251978418763151253"	0	3981312	
 
"1168963884134125126536966946586868418993819971673459188478711546479621135253876271366851168524933185"	0	622080	
 
"4085393587263438197362839792651187379538211951318577884164713291143976212416731331985661435443671959"	0	0	
 
"3553228282387512661332825938833987278273176259429718851544595148365934618547665378987718673792466782"	0	12288	
 
"5753864369445727580515697769244435958224756955271617637443922226671385825836362432966943317698359254"	0	0	
 
"8299152987184352183335613793611738246622952882892165423687431814339833963464637792247791375416898193"	0	165888	
 
"6178223277994376293151954655831386706428644944546637715218144618655386317329131929225926531946265235"	0	0	
 
"7266233545493462949586592835718427493129153261787711646766845548466345541531854751675496455763279259"	0	6144	
 
"9343746637672651697474472872418916594371213618363875622963812845376142981965514145661441836865837899"	0	81920	
 
"9317949759856497357254398763219839323723136763131916377913495416692666785978758414629119614215967159"	0	442368	
 
"4854154937399897379975613984238125355884258369243193936685559588342434968134474812375281371442336859"	0	18432	
 
"9272971672512277354953939427689518239714228293463398742522722274929422229859968434281231132695842184"	0	622080	
 
"9355141842519423434975558424574331479338913773268525913972842463395324957127519863135646135786662832"	0	131072	
 
"7543229674715396218368325364163294258826933764994151395727178546319844199963267855648577635487721483"	0	36864	
 
"6579116298432278845622761755757279557188173828512818893993886417157678271875796685375772244734739778"	0	9216	
 
"2316696554441358783946227776659488274288912326529233762652836862767154854761414596651257174516398495"	0	36864	
 
"1787897759966261825913315262377298132516969578441236833255596967132573482281598412163216914566534565"	0	5898240	
 
"8686962942374435195231395944187371411757457332845863756935975894587194414499598447936964274039979255"	0	0	
 
"4257994268668617776137155596588712267761372317383666773263594177391778733657731977235679838756463841"	0	40960	
 
"8435098221275814436356964965276761914618252012127634945951156398377952112951644342731746644843122125"	0	0	
 
"2256189527388216593418335868559242458839728466495756982511325823929498298876598988548338883519346822"	0	13824	
 
"7541387519572282368613553811323167125532172369624572591562685959575371877973171856836975137559677665"	0	1769472	
 
"2458572165554798885765445448293852851118898685623693683848369117322831534583873934593964897519439836"	0	1440	
 
"3578192842147195591192396897759642198876762254143579341828893614332239365526549738642966692968639262"	0	62208	
 
"7893749912342187894921836847319981199844151766195952528631828655978178193192959793156142441128167383"	0	1990656	
 
"2195853986993721770938135929316669988521176492955184393552357489356247629762464331139574649273947748"	0	0	
 
"3119954855372556539644885655528885611447932724388523761611845475559682953295861537549737529449659194"	0	1728	
 
"8191696279628294183756885248898921692742862115932382341649566834953948315139424749676974497353527219"	0	46080	
 
"4994882573957766587055952137845532387171791722984551443917972192384568154754241385698936468916966991"	0	0	
 
"4673351343232714528787622144828949686814115978657763689251918941228645575658338815495647817194659970"	0	0	
 
"4673351343232714528787622144828949686814115978657763689251918941228645575658338815495647817194659920"	0	46080	
 
"4673351343232714528787622144828949686814115978657763689251918941228645575658338815495647817194659905"	0	0	
 
"4673351343232714528787622144828949686814115978657763689251918941228645575658338815495647817194659205"	0	46080	
 
"4673351343232714528787622144828949686814115978657763689251918941228645575658338815495647817194659305"	0	0	
 
"101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	1	
 


